Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN WHITE TYPE,,,9/30/2017,0.5,0.5,0.5,0.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,CINDERELLA,,,8/19/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,CINDERELLA,,,8/26/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,CINDERELLA,,,9/2/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,CINDERELLA,,,9/9/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,CINDERELLA,,,9/9/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,CINDERELLA,,,9/16/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,CINDERELLA,,,9/23/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,CINDERELLA,,,9/30/2017,0.3,0.3,0.3,0.3,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,CINDERELLA,,,9/30/2017,250,250,250,250,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,9/24/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,10/1/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,10/8/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,10/15/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,10/22/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,FAIRYTALE,,,10/29/2016,0.24,0.24,0.24,0.24,CALIFORNIA,,,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,FAIRYTALE,,,9/30/2017,250,250,250,250,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,PIE TYPE,,,9/16/2017,30,30,30,30,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,PIE TYPE,,,9/23/2017,30,30,30,30,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,PIE TYPE,,,9/30/2017,30,30,30,30,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,BIG MACK TYPE,,,9/30/2017,0.5,0.85,0.5,0.85,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/1/2016,250,250,250,250,CALIFORNIA,,lge,,,EACH,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/1/2016,0.55,0.55,0.55,0.55,CALIFORNIA,,sml,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/8/2016,250,250,250,250,CALIFORNIA,,lge,,,EACH,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/8/2016,0.55,0.55,0.55,0.55,CALIFORNIA,,sml,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/15/2016,250,250,250,250,CALIFORNIA,,lge,,,EACH,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/15/2016,0.55,0.55,0.55,0.55,CALIFORNIA,,sml,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/22/2016,250,250,250,250,CALIFORNIA,,lge,,,EACH,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/22/2016,0.55,0.55,0.55,0.55,CALIFORNIA,,sml,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/29/2016,250,250,250,250,CALIFORNIA,,lge,,,EACH,,,,,,N,
PUMPKINS,LOS ANGELES,,each,BIG MACK TYPE,,,10/29/2016,0.55,0.55,0.55,0.55,CALIFORNIA,,sml,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/16/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/16/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,WHITE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/23/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,WHITE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/23/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/30/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,ORANGE,,,,,,,,N,
PUMPKINS,LOS ANGELES,,35 lb cartons,MINIATURE,FLAT TYPE,,9/30/2017,24.5,24.5,24.5,24.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,,WHITE,,,,,,,,N,
